Date,INTU
2010-09-29,39.30442428588867
2010-09-30,38.73850631713867
2010-10-01,39.711181640625
2010-10-04,39.03915786743164
2010-10-05,40.19751739501953
2010-10-06,39.72003173828125
2010-10-07,40.59542465209961
2010-10-08,40.52470016479492
2010-10-11,40.55121994018555
2010-10-12,41.4885139465332
2010-10-13,42.06324768066406
2010-10-14,41.833351135253906
2010-10-15,41.23206329345703
2010-10-18,40.66615676879883
2010-10-19,40.542354583740234
2010-10-20,40.69268035888672
2010-10-21,40.78110122680664
2010-10-22,41.744937896728516
2010-10-25,41.727237701416016
2010-10-26,42.116329193115234
2010-10-27,42.18703842163086
2010-10-28,42.6468505859375
2010-10-29,42.425785064697266
2010-11-01,42.5849609375
2010-11-02,42.832550048828125
2010-11-03,42.602638244628906
2010-11-04,43.06245422363281
