Date,DE
2010-09-29,53.922584533691406
2010-09-30,52.456668853759766
2010-10-01,51.547035217285156
2010-10-04,51.58465576171875
2010-10-05,53.599300384521484
2010-10-06,54.095462799072266
2010-10-07,54.05035400390625
2010-10-08,56.643863677978516
2010-10-11,56.61381530761719
2010-10-12,56.12515640258789
2010-10-13,56.59123611450195
2010-10-14,56.448402404785156
2010-10-15,57.25276565551758
2010-10-18,57.170082092285156
2010-10-19,56.320621490478516
2010-10-20,57.463260650634766
2010-10-21,57.921836853027344
2010-10-22,58.07218551635742
2010-10-25,58.06467056274414
2010-10-26,57.448219299316406
2010-10-27,57.012210845947266
2010-10-28,56.75661087036133
2010-10-29,57.733882904052734
2010-11-01,57.38807678222656
2010-11-02,58.13983154296875
2010-11-03,58.275146484375
2010-11-04,59.5230598449707
