Date,AME
2010-09-29,19.16033363342285
2010-09-30,19.285478591918945
2010-10-01,19.382368087768555
2010-10-04,19.30162811279297
2010-10-05,19.874897003173828
2010-10-06,19.58019256591797
2010-10-07,19.491371154785156
2010-10-08,19.4752197265625
2010-10-11,19.628637313842773
2010-10-12,19.689191818237305
2010-10-13,20.096946716308594
2010-10-14,19.862791061401367
2010-10-15,19.76993751525879
2010-10-18,20.032350540161133
2010-10-19,19.70534324645996
2010-10-20,20.032350540161133
2010-10-21,20.258438110351562
2010-10-22,20.133275985717773
2010-10-25,20.302845001220703
2010-10-26,21.655292510986328
2010-10-27,21.316164016723633
2010-10-28,21.489761352539062
2010-10-29,21.820816040039062
2010-11-01,22.0428466796875
2010-11-02,22.17607879638672
2010-11-03,22.224533081054688
2010-11-04,22.725130081176758
