Date,SYK
2010-09-29,41.67192459106445
2010-09-30,41.51431655883789
2010-10-01,41.48114013671875
2010-10-04,40.95029067993164
2010-10-05,41.94563674926758
2010-10-06,41.8460807800293
2010-10-07,41.290367126464844
2010-10-08,41.207420349121094
2010-10-11,41.29865646362305
2010-10-12,40.68486785888672
2010-10-13,40.883949279785156
2010-10-14,40.50239181518555
2010-10-15,40.67656326293945
2010-10-18,41.89586639404297
2010-10-19,41.530921936035156
2010-10-20,41.94563674926758
2010-10-21,42.56773376464844
2010-10-22,41.96223068237305
2010-10-25,42.52626037597656
2010-10-26,42.493064880371094
2010-10-27,42.219356536865234
2010-10-28,41.63874053955078
2010-10-29,41.049835205078125
2010-11-01,40.9005241394043
2010-11-02,41.3899040222168
2010-11-03,42.50965881347656
2010-11-04,42.93268585205078
