Date,SPGI
2010-09-29,26.100055694580078
2010-09-30,26.060632705688477
2010-10-01,26.00546646118164
2010-10-04,25.989696502685547
2010-10-05,26.517833709716797
2010-10-06,26.509973526000977
2010-10-07,26.636085510253906
2010-10-08,27.061769485473633
2010-10-11,27.235177993774414
2010-10-12,27.3770751953125
2010-10-13,27.85793113708496
2010-10-14,27.88157081604004
2010-10-15,28.015581130981445
2010-10-18,27.99981689453125
2010-10-19,27.5820369720459
2010-10-20,28.40184211730957
2010-10-21,28.638338088989258
2010-10-22,28.693498611450195
2010-10-25,28.819637298583984
2010-10-26,29.418720245361328
2010-10-27,29.44237518310547
2010-10-28,29.584264755249023
2010-10-29,29.678869247436523
2010-11-01,29.63156509399414
2010-11-02,29.946889877319336
2010-11-03,29.820755004882812
