Date,EVRG
2010-09-29,13.748330116271973
2010-09-30,13.742664337158203
2010-10-01,13.895795822143555
2010-10-04,13.850423812866211
2010-10-05,14.03192138671875
2010-10-06,13.929828643798828
2010-10-07,13.890120506286621
2010-10-08,13.992213249206543
2010-10-11,14.054606437683105
2010-10-12,13.958185195922852
2010-10-13,13.980870246887207
2010-10-14,13.958185195922852
2010-10-15,14.037588119506836
2010-10-18,14.111323356628418
2010-10-19,14.116990089416504
2010-10-20,14.258785247802734
2010-10-21,14.139683723449707
2010-10-22,14.134014129638672
2010-10-25,14.14535903930664
2010-10-26,14.139683723449707
2010-10-27,14.179377555847168
2010-10-28,14.338191986083984
2010-10-29,14.34953498840332
2010-11-01,14.34953498840332
2010-11-02,14.445956230163574
2010-11-03,14.332517623901367
