Date,URI
2010-09-28,14.39201545715332
2010-09-29,14.38228988647461
2010-09-30,14.430913925170898
2010-10-01,14.537881851196289
2010-10-04,14.1294584274292
2010-10-05,14.46008586883545
2010-10-06,14.285049438476562
2010-10-07,14.479535102844238
2010-10-08,14.372567176818848
2010-10-11,14.635125160217285
2010-10-12,15.627006530761719
2010-10-13,15.986807823181152
2010-10-14,16.00625228881836
2010-10-15,15.831217765808105
2010-10-18,16.200742721557617
2010-10-19,15.558935165405273
2010-10-20,17.114831924438477
2010-10-21,17.81498146057129
2010-10-22,17.960845947265625
2010-10-25,18.340099334716797
2010-10-26,18.087265014648438
2010-10-27,18.34981918334961
2010-10-28,17.990020751953125
2010-10-29,18.272024154663086
2010-11-01,18.417890548706055
2010-11-02,18.83603858947754
2010-11-03,18.826313018798828
