Date,QCOM
2010-09-29,30.375076293945312
2010-09-30,30.937204360961914
2010-10-01,30.34079360961914
2010-10-04,30.08715057373047
2010-10-05,30.34079360961914
2010-10-06,30.6081600189209
2010-10-07,30.53959846496582
2010-10-08,30.683542251586914
2010-10-11,30.28596305847168
2010-10-12,30.704124450683594
2010-10-13,31.06743812561035
2010-10-14,30.875497817993164
2010-10-15,30.704124450683594
2010-10-18,30.498462677001953
2010-10-19,30.313369750976562
2010-10-20,30.423051834106445
2010-10-21,30.148866653442383
2010-10-22,30.28596305847168
2010-10-25,30.388790130615234
2010-10-26,30.121423721313477
2010-10-27,30.491600036621094
2010-10-28,30.450481414794922
2010-10-29,30.957754135131836
2010-11-01,31.074291229248047
2010-11-02,31.108577728271484
2010-11-03,31.321081161499023
