Date,UPS
2010-09-29,41.31631088256836
2010-09-30,41.28534698486328
2010-10-01,41.13058090209961
2010-10-04,40.932472229003906
2010-10-05,42.02202606201172
2010-10-06,41.97869873046875
2010-10-07,41.7063102722168
2010-10-08,41.805362701416016
2010-10-11,41.69392776489258
2010-10-12,41.625823974609375
2010-10-13,42.50490188598633
2010-10-14,42.96299362182617
2010-10-15,42.90727996826172
2010-10-18,43.0249137878418
2010-10-19,42.5544319152832
2010-10-20,43.11777114868164
2010-10-21,43.080623626708984
2010-10-22,43.22920608520508
2010-10-25,42.913482666015625
2010-10-26,42.97539520263672
2010-10-27,42.083953857421875
2010-10-28,41.885833740234375
2010-10-29,41.68773651123047
2010-11-01,41.68773651123047
2010-11-02,42.28203201293945
2010-11-03,42.486324310302734
2010-11-04,42.944454193115234
