Date,TGT
2010-09-29,35.68252944946289
2010-09-30,35.61587905883789
2010-10-01,35.635868072509766
2010-10-04,35.6025276184082
2010-10-05,36.1490478515625
2010-10-06,36.03573989868164
2010-10-07,36.202369689941406
2010-10-08,36.122379302978516
2010-10-11,36.55558776855469
2010-10-12,36.482276916503906
2010-10-13,36.26901626586914
2010-10-14,36.03573989868164
2010-10-15,36.20903015136719
2010-10-18,36.01575469970703
2010-10-19,35.65586471557617
2010-10-20,36.10905838012695
2010-10-21,36.12905502319336
2010-10-22,35.9024543762207
2010-10-25,35.82914352416992
2010-10-26,35.41593933105469
2010-10-27,35.142696380615234
2010-10-28,34.896087646484375
2010-10-29,34.616180419921875
2010-11-01,35.64252471923828
2010-11-02,35.955780029296875
2010-11-03,35.969093322753906
2010-11-04,36.4956169128418
