Date,ESS
2010-09-29,68.20199584960938
2010-09-30,68.79923248291016
2010-10-01,68.57292938232422
2010-10-04,68.95639038085938
2010-10-05,69.5284652709961
2010-10-06,68.81808471679688
2010-10-07,69.06328582763672
2010-10-08,69.0318374633789
2010-10-11,69.18899536132812
2010-10-12,70.08165740966797
2010-10-13,70.42117309570312
2010-10-14,70.15711212158203
2010-10-15,69.9810791015625
2010-10-18,70.9869155883789
2010-10-19,70.8611831665039
2010-10-20,72.40140533447266
2010-10-21,72.65286254882812
2010-10-22,72.77230072021484
2010-10-25,72.96086883544922
2010-10-26,72.14991760253906
2010-10-27,71.64701843261719
2010-10-28,70.81719970703125
2010-10-29,71.01204681396484
2010-11-01,71.43326568603516
2010-11-02,71.38296508789062
2010-11-03,71.2635498046875
2010-11-04,72.9546127319336
