Date,TKO
2010-09-29,9.415114402770996
2010-09-30,9.421889305114746
2010-10-01,9.462529182434082
2010-10-04,9.225460052490234
2010-10-05,9.008706092834473
2010-10-06,9.130632400512695
2010-10-07,9.184819221496582
2010-10-08,9.299966812133789
2010-10-11,9.293196678161621
2010-10-12,9.340603828430176
2010-10-13,9.428662300109863
2010-10-14,9.455757141113281
2010-10-15,9.428662300109863
2010-10-18,9.489623069763184
2010-10-19,9.374476432800293
2010-10-20,9.388022422790527
2010-10-21,9.408341407775879
2010-10-22,9.489623069763184
2010-10-25,9.428662300109863
2010-10-26,9.496394157409668
2010-10-27,9.388022422790527
2010-10-28,9.293196678161621
2010-10-29,9.374476432800293
2010-11-01,9.374476432800293
2010-11-02,9.347382545471191
2010-11-03,9.25255298614502
