Date,ETR
2010-09-29,20.567588806152344
2010-09-30,20.3785343170166
2010-10-01,20.5489444732666
2010-10-04,20.41314697265625
2010-10-05,20.67409896850586
2010-10-06,20.415813446044922
2010-10-07,20.354572296142578
2010-10-08,20.269357681274414
2010-10-11,20.540969848632812
2010-10-12,20.453092575073242
2010-10-13,20.583568572998047
2010-10-14,20.503690719604492
2010-10-15,20.495698928833008
2010-10-18,20.626174926757812
2010-10-19,20.3785343170166
2010-10-20,20.53297996520996
2010-10-21,20.045677185058594
2010-10-22,19.861942291259766
2010-10-25,19.63294792175293
2010-10-26,19.731473922729492
2010-10-27,19.507789611816406
2010-10-28,19.69684600830078
2010-10-29,19.845966339111328
2010-11-01,19.65958023071289
2010-11-02,19.853960037231445
2010-11-03,19.880586624145508
2010-11-04,20.077634811401367
