Date,HUBB
2010-09-29,37.03892517089844
2010-09-30,36.98789978027344
2010-10-01,36.80568313598633
2010-10-04,35.938377380371094
2010-10-05,37.148250579833984
2010-10-06,37.59280776977539
2010-10-07,37.67298126220703
2010-10-08,37.782318115234375
2010-10-11,37.81145477294922
2010-10-12,38.03740310668945
2010-10-13,38.474693298339844
2010-10-14,39.02131271362305
2010-10-15,38.51113510131836
2010-10-18,38.76621627807617
2010-10-19,37.979095458984375
2010-10-20,38.99217224121094
2010-10-21,39.79386520385742
2010-10-22,39.93962860107422
2010-10-25,40.675750732421875
2010-10-26,40.478981018066406
2010-10-27,40.30404281616211
2010-10-28,39.49504470825195
2010-10-29,39.37116241455078
2010-11-01,39.20351791381836
2010-11-02,39.67725372314453
2010-11-03,39.75013732910156
2010-11-04,40.41339111328125
