Date,AON
2010-09-29,33.9324836730957
2010-09-30,33.49567413330078
2010-10-01,33.64128112792969
2010-10-04,33.57276153564453
2010-10-05,33.97529602050781
2010-10-06,33.8468132019043
2010-10-07,33.718353271484375
2010-10-08,33.75261688232422
2010-10-11,33.39289474487305
2010-10-12,33.82968521118164
2010-10-13,33.79542922973633
2010-10-14,33.82114028930664
2010-10-15,33.79542922973633
2010-10-18,34.29219055175781
2010-10-19,33.82114028930664
2010-10-20,33.958160400390625
2010-10-21,34.30931091308594
2010-10-22,34.275054931640625
2010-10-25,34.514862060546875
2010-10-26,34.583351135253906
2010-10-27,35.003028869628906
2010-10-28,34.951438903808594
2010-10-29,34.16921615600586
2010-11-01,34.18639373779297
2010-11-02,34.289546966552734
2010-11-03,34.33253860473633
2010-11-04,35.321075439453125
