Date,ROST
2010-09-29,12.015425682067871
2010-09-30,11.79955768585205
2010-10-01,11.877267837524414
2010-10-04,11.754220962524414
2010-10-05,11.713204383850098
2010-10-06,11.726158142089844
2010-10-07,11.963617324829102
2010-10-08,12.032695770263672
2010-10-11,12.108248710632324
2010-10-12,12.125519752502441
2010-10-13,12.04133129119873
2010-10-14,12.08018684387207
2010-10-15,12.259366035461426
2010-10-18,12.326282501220703
2010-10-19,12.20323371887207
2010-10-20,12.347867965698242
2010-10-21,12.40831470489502
2010-10-22,12.438536643981934
2010-10-25,12.611231803894043
2010-10-26,12.628500938415527
2010-10-27,12.650087356567383
2010-10-28,12.600436210632324
2010-10-29,12.73427677154541
2010-11-01,12.863801002502441
2010-11-02,13.166023254394531
2010-11-03,13.058086395263672
