Date,C
2010-09-29,29.25993537902832
2010-09-30,29.185287475585938
2010-10-01,30.528867721557617
2010-10-04,30.080995559692383
2010-10-05,30.827436447143555
2010-10-06,30.6035099029541
2010-10-07,31.200651168823242
2010-10-08,31.275287628173828
2010-10-11,31.200651168823242
2010-10-12,31.64850616455078
2010-10-13,31.72315216064453
2010-10-14,30.304927825927734
2010-10-15,29.483863830566406
2010-10-18,31.126008987426758
2010-10-19,30.304927825927734
2010-10-20,30.678150177001953
2010-10-21,30.379568099975586
2010-10-22,30.678150177001953
2010-10-25,31.42458152770996
2010-10-26,31.200651168823242
2010-10-27,31.126008987426758
2010-10-28,31.126008987426758
2010-10-29,31.126008987426758
2010-11-01,30.976715087890625
2010-11-02,31.126008987426758
2010-11-03,31.275287628173828
2010-11-04,32.32029342651367
