Date,NTRS
2010-09-29,32.742713928222656
2010-09-30,33.0302848815918
2010-10-01,33.35894012451172
2010-10-04,32.64000701904297
2010-10-05,33.27676773071289
2010-10-06,33.47533416748047
2010-10-07,33.0165901184082
2010-10-08,33.1056022644043
2010-10-11,33.516422271728516
2010-10-12,33.72866439819336
2010-10-13,33.87931823730469
2010-10-14,33.756072998046875
2010-10-15,33.37263870239258
2010-10-18,34.338069915771484
2010-10-19,33.74921798706055
2010-10-20,33.49587631225586
2010-10-21,32.461978912353516
2010-10-22,32.73586654663086
2010-10-25,32.87965393066406
2010-10-26,34.62565612792969
2010-10-27,34.447628021240234
2010-10-28,34.24905776977539
2010-10-29,33.982025146484375
2010-11-01,33.831382751464844
2010-11-02,34.65303421020508
2010-11-03,34.52294158935547
