Date,CNP
2010-09-28,9.22079086303711
2010-09-29,9.174220085144043
2010-09-30,9.150938034057617
2010-10-01,9.255719184875488
2010-10-04,9.185860633850098
2010-10-05,9.331391334533691
2010-10-06,9.249895095825195
2010-10-07,9.31392765045166
2010-10-08,9.36631965637207
2010-10-11,9.40706729888916
2010-10-12,9.360498428344727
2010-10-13,9.308107376098633
2010-10-14,9.290643692016602
2010-10-15,9.38960075378418
2010-10-18,9.401244163513184
2010-10-19,9.401244163513184
2010-10-20,9.540953636169434
2010-10-21,9.540953636169434
2010-10-22,9.558420181274414
2010-10-25,9.546772956848145
2010-10-26,9.558420181274414
2010-10-27,9.558420181274414
2010-10-28,9.540953636169434
2010-10-29,9.63991641998291
2010-11-01,9.634092330932617
2010-11-02,9.762158393859863
2010-11-03,9.73305606842041
