Date,FDS
2010-09-29,69.90266418457031
2010-09-30,69.1610107421875
2010-10-01,69.88561248779297
2010-10-04,68.5131607055664
2010-10-05,70.18399810791016
2010-10-06,69.86859893798828
2010-10-07,70.1925277709961
2010-10-08,70.47383880615234
2010-10-11,71.13871002197266
2010-10-12,71.74404907226562
2010-10-13,73.47453308105469
2010-10-14,73.38927459716797
2010-10-15,73.93484497070312
2010-10-18,74.70210266113281
2010-10-19,74.34406280517578
2010-10-20,75.15390014648438
2010-10-21,74.96635437011719
2010-10-22,75.92964935302734
2010-10-25,75.14537811279297
2010-10-26,74.96635437011719
2010-10-27,74.75325012207031
2010-10-28,74.91522216796875
2010-10-29,74.8299789428711
2010-11-01,75.09425354003906
2010-11-02,75.11126708984375
2010-11-03,74.881103515625
2010-11-04,76.25360107421875
