Date,KO
2010-09-29,18.67102813720703
2010-09-30,18.594768524169922
2010-10-01,18.78542137145996
2010-10-04,18.70916175842285
2010-10-05,18.957006454467773
2010-10-06,19.001489639282227
2010-10-07,18.887102127075195
2010-10-08,18.877565383911133
2010-10-11,18.925230026245117
2010-10-12,18.937942504882812
2010-10-13,19.04596710205078
2010-10-14,19.036439895629883
2010-10-15,19.04596710205078
2010-10-18,19.065038681030273
2010-10-19,19.173076629638672
2010-10-20,19.43045425415039
2010-10-21,19.532127380371094
2010-10-22,19.576616287231445
2010-10-25,19.385971069335938
2010-10-26,19.45905303955078
2010-10-27,19.443161010742188
2010-10-28,19.44951629638672
2010-10-29,19.484472274780273
2010-11-01,19.60839080810547
2010-11-02,19.65605354309082
2010-11-03,19.684650421142578
