Date,PEP
2010-09-29,43.141571044921875
2010-09-30,42.94121551513672
2010-10-01,43.30316925048828
2010-10-04,43.21913528442383
2010-10-05,43.79435348510742
2010-10-06,44.020565032958984
2010-10-07,42.72146224975586
2010-10-08,42.495262145996094
2010-10-11,42.346595764160156
2010-10-12,42.70853042602539
2010-10-13,42.91535568237305
2010-10-14,43.07048034667969
2010-10-15,43.0963249206543
2010-10-18,42.9799919128418
2010-10-19,42.2755126953125
2010-10-20,41.991146087646484
2010-10-21,42.126861572265625
2010-10-22,42.01697540283203
2010-10-25,42.042842864990234
2010-10-26,41.874794006347656
2010-10-27,41.5387077331543
2010-10-28,42.01697540283203
2010-10-29,42.20442199707031
2010-11-01,42.366004943847656
2010-11-02,42.52758026123047
2010-11-03,42.1397705078125
2010-11-04,42.236732482910156
