Date,CTRA
2010-09-27,5.189868450164795
2010-09-28,5.246518135070801
2010-09-29,5.518803119659424
2010-09-30,5.5023579597473145
2010-10-01,5.584589004516602
2010-10-04,5.440223217010498
2010-10-05,5.613829135894775
2010-10-06,5.761849403381348
2010-10-07,5.72713041305542
2010-10-08,5.855047225952148
2010-10-11,5.761849403381348
2010-10-12,5.602863788604736
2010-10-13,5.696062088012695
2010-10-14,5.612001895904541
2010-10-15,5.577280044555664
2010-10-18,5.67413330078125
2010-10-19,5.463978290557861
2010-10-20,5.566315174102783
2010-10-21,5.5608320236206055
2010-10-22,5.643068313598633
2010-10-25,5.650375843048096
2010-10-26,5.2373809814453125
2010-10-27,5.241034030914307
2010-10-28,5.166110992431641
2010-10-29,5.295857906341553
2010-11-01,5.511492729187012
2010-11-02,5.580936431884766
