Date,CPB
2010-09-29,22.594327926635742
2010-09-30,22.424951553344727
2010-10-01,22.638225555419922
2010-10-04,22.544132232666016
2010-10-05,22.5504150390625
2010-10-06,22.631956100463867
2010-10-07,22.4265193939209
2010-10-08,22.5466251373291
2010-10-11,22.673032760620117
2010-10-12,22.64143180847168
2010-10-13,23.13446617126465
2010-10-14,23.10287094116211
2010-10-15,23.14078712463379
2010-10-18,23.01436996459961
2010-10-19,22.767864227294922
2010-10-20,22.91322898864746
2010-10-21,22.944839477539062
2010-10-22,22.98908233642578
2010-10-25,22.925870895385742
2010-10-26,22.957481384277344
2010-10-27,22.799461364746094
2010-10-28,22.679357528686523
2010-10-29,22.91322898864746
2010-11-01,22.881629943847656
2010-11-02,23.01436996459961
2010-11-03,22.96379280090332
