Date,DD
2010-09-29,26.50139617919922
2010-09-30,26.569133758544922
2010-10-01,26.975507736206055
2010-10-04,26.57880973815918
2010-10-05,27.54637336730957
2010-10-06,28.01078987121582
2010-10-07,28.204313278198242
2010-10-08,29.055755615234375
2010-10-11,28.881593704223633
2010-10-12,28.842893600463867
2010-10-13,28.85256576538086
2010-10-14,28.35910415649414
2010-10-15,28.47522735595703
2010-10-18,28.871923446655273
2010-10-19,28.388145446777344
2010-10-20,29.210567474365234
2010-10-21,29.529857635498047
2010-10-22,29.220247268676758
2010-10-25,30.536128997802734
2010-10-26,30.47806167602539
2010-10-27,30.197458267211914
2010-10-28,29.858827590942383
2010-10-29,29.8394718170166
2010-11-01,29.88785171508789
2010-11-02,30.371646881103516
2010-11-03,30.536128997802734
2010-11-04,31.706851959228516
