Date,AWK
2010-09-29,16.650705337524414
2010-09-30,16.80234718322754
2010-10-01,16.990079879760742
2010-10-04,16.946760177612305
2010-10-05,17.105606079101562
2010-10-06,17.14171028137207
2010-10-07,17.163373947143555
2010-10-08,17.112836837768555
2010-10-11,17.083948135375977
2010-10-12,17.12727928161621
2010-10-13,16.946760177612305
2010-10-14,16.982860565185547
2010-10-15,17.069503784179688
2010-10-18,17.076725006103516
2010-10-19,17.134490966796875
2010-10-20,17.228355407714844
2010-10-21,17.14171028137207
2010-10-22,17.098388671875
2010-10-25,17.004520416259766
2010-10-26,17.06229019165039
2010-10-27,17.257240295410156
2010-10-28,17.257240295410156
2010-10-29,17.242794036865234
2010-11-01,17.134490966796875
2010-11-02,17.235578536987305
2010-11-03,17.401653289794922
2010-11-04,17.71935272216797
