Date,EL
2010-09-29,26.606069564819336
2010-09-30,26.232683181762695
2010-10-01,26.25757598876953
2010-10-04,26.108213424682617
2010-10-05,26.456714630126953
2010-10-06,25.9505672454834
2010-10-07,26.137258529663086
2010-10-08,27.24083137512207
2010-10-11,27.13296127319336
2010-10-12,27.796768188476562
2010-10-13,27.60177993774414
2010-10-14,27.58932876586914
2010-10-15,27.892192840576172
2010-10-18,27.813365936279297
2010-10-19,27.178604125976562
2010-10-20,27.48145294189453
2010-10-21,27.427532196044922
2010-10-22,27.48975944519043
2010-10-25,27.170299530029297
2010-10-26,26.888181686401367
2010-10-27,26.871593475341797
2010-10-28,26.722238540649414
2010-10-29,29.526805877685547
2010-11-01,28.983308792114258
2010-11-02,29.269582748413086
2010-11-03,29.452125549316406
2010-11-04,29.925086975097656
