Date,PRU
2010-09-29,31.552547454833984
2010-09-30,30.240888595581055
2010-10-01,29.6213321685791
2010-10-04,29.331087112426758
2010-10-05,30.151582717895508
2010-10-06,30.212976455688477
2010-10-07,30.03993797302246
2010-10-08,30.162742614746094
2010-10-11,29.83342933654785
2010-10-12,30.12924575805664
2010-10-13,30.363683700561523
2010-10-14,30.240888595581055
2010-10-15,30.03993797302246
2010-10-18,30.50880241394043
2010-10-19,29.716222763061523
2010-10-20,30.268796920776367
2010-10-21,30.330198287963867
2010-10-22,29.420387268066406
2010-10-25,29.571096420288086
2010-10-26,29.87249755859375
2010-10-27,29.721805572509766
2010-10-28,29.599008560180664
2010-10-29,29.34782600402832
2010-11-01,29.392492294311523
2010-11-02,29.565523147583008
2010-11-03,30.20181655883789
