Date,OMC
2010-09-29,25.129745483398438
2010-09-30,25.161617279052734
2010-10-01,25.27632713317871
2010-10-04,24.906694412231445
2010-10-05,25.645977020263672
2010-10-06,25.346437454223633
2010-10-07,25.32732391357422
2010-10-08,25.665103912353516
2010-10-11,25.894542694091797
2010-10-12,25.996511459350586
2010-10-13,26.1048583984375
2010-10-14,26.31517791748047
2010-10-15,26.614717483520508
2010-10-18,26.812284469604492
2010-10-19,26.31517791748047
2010-10-20,27.05447006225586
2010-10-21,27.43686294555664
2010-10-22,27.551576614379883
2010-10-25,27.787397384643555
2010-10-26,27.96584701538086
2010-10-27,27.85114097595215
2010-10-28,27.953096389770508
2010-10-29,28.01683235168457
2010-11-01,28.061445236206055
2010-11-02,28.418350219726562
2010-11-03,28.934585571289062
