Date,LOW
2010-09-29,16.862899780273438
2010-09-30,16.938892364501953
2010-10-01,16.9844913482666
2010-10-04,16.900894165039062
2010-10-05,17.2276668548584
2010-10-06,17.2276668548584
2010-10-07,17.1972713470459
2010-10-08,17.250465393066406
2010-10-11,17.166873931884766
2010-10-12,16.748905181884766
2010-10-13,16.63492202758789
2010-10-14,16.475337982177734
2010-10-15,16.384140014648438
2010-10-18,16.078615188598633
2010-10-19,16.078615188598633
2010-10-20,16.536911010742188
2010-10-21,16.842437744140625
2010-10-22,16.804256439208984
2010-10-25,16.697311401367188
2010-10-26,16.59037971496582
2010-10-27,16.39177894592285
2010-10-28,16.33067512512207
2010-10-29,16.30012321472168
2010-11-01,16.185550689697266
2010-11-02,16.74314308166504
2010-11-03,16.74314308166504
2010-11-04,17.03339385986328
