Date,VTR
2010-09-29,30.55474853515625
2010-09-30,30.685649871826172
2010-10-01,30.733257293701172
2010-10-04,31.22713279724121
2010-10-05,32.262489318847656
2010-10-06,32.16132736206055
2010-10-07,32.11372375488281
2010-10-08,32.018516540527344
2010-10-11,32.01255798339844
2010-10-12,32.07207489013672
2010-10-13,32.37553405761719
2010-10-14,32.21488952636719
2010-10-15,31.875720977783203
2010-10-18,32.387428283691406
2010-10-19,32.024478912353516
2010-10-20,32.71471405029297
2010-10-21,32.57784652709961
2010-10-22,31.14977264404297
2010-10-25,31.798368453979492
2010-10-26,32.07802200317383
2010-10-27,31.61389923095703
2010-10-28,31.64959716796875
2010-10-29,31.869760513305664
2010-11-01,31.99472427368164
2010-11-02,32.00661849975586
2010-11-03,31.9173526763916
2010-11-04,32.98246383666992
