Date,DOV
2010-09-29,26.454627990722656
2010-09-30,26.622900009155273
2010-10-01,26.78097152709961
2010-10-04,26.577009201049805
2010-10-05,27.698833465576172
2010-10-06,27.525455474853516
2010-10-07,27.887496948242188
2010-10-08,27.81101417541504
2010-10-11,27.57135009765625
2010-10-12,27.561140060424805
2010-10-13,27.887496948242188
2010-10-14,27.556041717529297
2010-10-15,27.54585075378418
2010-10-18,27.32659149169922
2010-10-19,26.8625545501709
2010-10-20,27.43366813659668
2010-10-21,27.938491821289062
2010-10-22,27.117521286010742
2010-10-25,27.22969627380371
2010-10-26,27.11241340637207
2010-10-27,26.959442138671875
2010-10-28,26.984943389892578
2010-10-29,27.076730728149414
2010-11-01,27.290882110595703
2010-11-02,27.499950408935547
2010-11-03,27.561140060424805
2010-11-04,28.152666091918945
