Date,NI
2010-09-21,4.084049701690674
2010-09-22,4.115096569061279
2010-09-23,4.076883316040039
2010-09-24,4.141368865966797
2010-09-27,4.162863731384277
2010-09-28,4.177192687988281
2010-09-29,4.170028209686279
2010-09-30,4.155697822570801
2010-10-01,4.198688983917236
2010-10-04,4.201076507568359
2010-10-05,4.229737281799316
2010-10-06,4.19152307510376
2010-10-07,4.208240509033203
2010-10-08,4.239290714263916
2010-10-11,4.24406623840332
2010-10-12,4.229737281799316
2010-10-13,4.227348327636719
2010-10-14,4.256009101867676
2010-10-15,4.246454238891602
2010-10-18,4.275115489959717
2010-10-19,4.234513282775879
2010-10-20,4.263172626495361
2010-10-21,4.2249603271484375
2010-10-22,4.229737281799316
2010-10-25,4.229737281799316
2010-10-26,4.19152307510376
2010-10-27,4.189103603363037
