Date,LHX
2010-09-29,32.359073638916016
2010-09-30,32.00498962402344
2010-10-01,32.301265716552734
2010-10-04,31.658138275146484
2010-10-05,32.380760192871094
2010-10-06,31.92549705505371
2010-10-07,31.752073287963867
2010-10-08,31.600332260131836
2010-10-11,31.448572158813477
2010-10-12,31.629241943359375
2010-10-13,31.983308792114258
2010-10-14,31.77375030517578
2010-10-15,32.13507843017578
2010-10-18,31.874921798706055
2010-10-19,31.311275482177734
2010-10-20,31.44133758544922
2010-10-21,31.62200164794922
2010-10-22,31.65089988708496
2010-10-25,32.395198822021484
2010-10-26,33.117835998535156
2010-10-27,32.431331634521484
2010-10-28,32.901058197021484
2010-10-29,32.655357360839844
2010-11-01,32.78542709350586
2010-11-02,33.218990325927734
2010-11-03,33.30571365356445
2010-11-04,33.876590728759766
