Date,APD
2010-09-29,52.991477966308594
2010-09-30,52.97229766845703
2010-10-01,53.10021209716797
2010-10-04,52.49257278442383
2010-10-05,53.854942321777344
2010-10-06,53.73982238769531
2010-10-07,52.710044860839844
2010-10-08,52.895538330078125
2010-10-11,52.78682327270508
2010-10-12,52.818790435791016
2010-10-13,53.02985763549805
2010-10-14,52.51177215576172
2010-10-15,52.2303581237793
2010-10-18,53.0554313659668
2010-10-19,52.000091552734375
2010-10-20,53.15138244628906
2010-10-21,54.32185745239258
2010-10-22,54.2003173828125
2010-10-25,54.83993148803711
2010-10-26,54.81434631347656
2010-10-27,53.83577346801758
2010-10-28,54.46259307861328
2010-10-29,54.34742736816406
2010-11-01,54.334659576416016
2010-11-02,55.23651885986328
2010-11-03,54.660865783691406
2010-11-04,55.55629348754883
