Date,BBY
2010-09-29,24.684675216674805
2010-09-30,24.965957641601562
2010-10-01,25.01506233215332
2010-10-04,24.702062606811523
2010-10-05,25.088708877563477
2010-10-06,25.051889419555664
2010-10-07,25.27895164489746
2010-10-08,25.21759033203125
2010-10-11,25.076435089111328
2010-10-12,24.996646881103516
2010-10-13,25.180761337280273
2010-10-14,25.150070190429688
2010-10-15,25.868127822875977
2010-10-18,26.101337432861328
2010-10-19,25.794483184814453
2010-10-20,25.947900772094727
2010-10-21,25.99700164794922
2010-10-22,26.230228424072266
2010-10-25,26.438884735107422
2010-10-26,26.34068489074707
2010-10-27,26.30386734008789
2010-10-28,26.328414916992188
2010-10-29,26.377517700195312
2010-11-01,25.880403518676758
2010-11-02,26.162717819213867
2010-11-03,26.23634910583496
2010-11-04,26.80710792541504
