Date,BR
2010-09-29,16.958635330200195
2010-09-30,16.943828582763672
2010-10-01,17.099411010742188
2010-10-04,16.921594619750977
2010-10-05,16.951236724853516
2010-10-06,16.714149475097656
2010-10-07,16.625246047973633
2010-10-08,16.57338523864746
2010-10-11,16.558563232421875
2010-10-12,16.21776580810547
2010-10-13,15.580607414245605
2010-10-14,15.454665184020996
2010-10-15,15.358344078063965
2010-10-18,15.521346092224121
2010-10-19,15.49170970916748
2010-10-20,15.92141342163086
2010-10-21,15.78065013885498
2010-10-22,16.047359466552734
2010-10-25,16.34371566772461
2010-10-26,16.26962661743164
2010-10-27,16.21776580810547
2010-10-28,16.31407928466797
2010-10-29,16.29926300048828
2010-11-01,16.239988327026367
2010-11-02,16.380760192871094
2010-11-03,16.39557647705078
