Date,MMC
2010-09-29,17.98208236694336
2010-09-30,17.900442123413086
2010-10-01,17.752016067504883
2010-10-04,17.551637649536133
2010-10-05,17.818809509277344
2010-10-06,17.79635238647461
2010-10-07,17.61666488647461
2010-10-08,17.758913040161133
2010-10-11,17.8712215423584
2010-10-12,17.931110382080078
2010-10-13,18.03592872619629
2010-10-14,17.968549728393555
2010-10-15,17.908649444580078
2010-10-18,18.230581283569336
2010-10-19,18.260536193847656
2010-10-20,18.537553787231445
2010-10-21,18.829540252685547
2010-10-22,18.8594913482666
2010-10-25,18.80708122253418
2010-10-26,18.65734100341797
2010-10-27,18.94183921813965
2010-10-28,18.9044132232666
2010-10-29,18.7022647857666
2010-11-01,18.829540252685547
2010-11-02,18.89691925048828
2010-11-03,19.00173568725586
