Date,ALB
2010-09-29,37.306640625
2010-09-30,37.856536865234375
2010-10-01,38.22047424316406
2010-10-04,37.767581939697266
2010-10-05,38.932167053222656
2010-10-06,38.75424575805664
2010-10-07,38.61674880981445
2010-10-08,38.66526794433594
2010-10-11,38.85129165649414
2010-10-12,38.835105895996094
2010-10-13,39.482086181640625
2010-10-14,39.23947525024414
2010-10-15,39.2152214050293
2010-10-18,39.12626266479492
2010-10-19,38.29326629638672
2010-10-20,39.11007308959961
2010-10-21,39.368865966796875
2010-10-22,39.643836975097656
2010-10-25,40.49300765991211
2010-10-26,40.57386779785156
2010-10-27,40.30699920654297
2010-10-28,40.007781982421875
2010-10-29,40.54153823852539
2010-11-01,40.59003829956055
2010-11-02,41.04294204711914
2010-11-03,41.23703384399414
2010-11-04,42.68466567993164
