Date,AJG
2010-09-29,18.384557723999023
2010-09-30,18.4475154876709
2010-10-01,18.300609588623047
2010-10-04,18.34258460998535
2010-10-05,18.524463653564453
2010-10-06,18.4475154876709
2010-10-07,18.335588455200195
2010-10-08,18.300609588623047
2010-10-11,18.468505859375
2010-10-12,18.545455932617188
2010-10-13,18.692367553710938
2010-10-14,18.839279174804688
2010-10-15,18.5594482421875
2010-10-18,18.95819664001465
2010-10-19,18.797304153442383
2010-10-20,19.056140899658203
2010-10-21,19.084117889404297
2010-10-22,19.161075592041016
2010-10-25,19.24502182006836
2010-10-26,19.04214859008789
2010-10-27,20.042524337768555
2010-10-28,19.8046817779541
2010-10-29,19.699739456176758
2010-11-01,19.713727951049805
2010-11-02,19.83265495300293
2010-11-03,19.9445858001709
2010-11-04,20.21041488647461
