Date,LH
2010-09-29,64.47479248046875
2010-09-30,64.70580291748047
2010-10-01,64.37580108642578
2010-10-04,64.28504943847656
2010-10-05,65.46482849121094
2010-10-06,65.29155731201172
2010-10-07,64.8460693359375
2010-10-08,65.49781799316406
2010-10-11,65.91033935546875
2010-10-12,65.61332702636719
2010-10-13,66.3310775756836
2010-10-14,65.15957641601562
2010-10-15,65.27507781982422
2010-10-18,65.96808624267578
2010-10-19,65.1678237915039
2010-10-20,64.61505126953125
2010-10-21,64.41705322265625
2010-10-22,65.30807495117188
2010-10-25,65.01931762695312
2010-10-26,65.36581420898438
2010-10-27,65.63807678222656
2010-10-28,66.22383117675781
2010-10-29,67.090087890625
2010-11-01,67.58509826660156
2010-11-02,68.19562530517578
2010-11-03,67.56035614013672
2010-11-04,68.3193588256836
