Date,TDG
2010-09-29,28.93733787536621
2010-09-30,28.473857879638672
2010-10-01,28.44632339477539
2010-10-04,27.99202537536621
2010-10-05,28.547279357910156
2010-10-06,28.634471893310547
2010-10-07,28.62529182434082
2010-10-08,29.1575984954834
2010-10-11,29.08876609802246
2010-10-12,29.038286209106445
2010-10-13,29.309032440185547
2010-10-14,29.070409774780273
2010-10-15,29.056644439697266
2010-10-18,28.909801483154297
2010-10-19,28.634471893310547
2010-10-20,29.12547492980957
2010-10-21,29.822978973388672
2010-10-22,29.965240478515625
2010-10-25,30.029478073120117
2010-10-26,30.13502311706543
2010-10-27,30.17632293701172
2010-10-28,30.203855514526367
2010-10-29,30.410354614257812
2010-11-01,30.61685562133789
2010-11-02,31.094097137451172
2010-11-03,30.768285751342773
