Date,PNR
2010-09-29,17.260353088378906
2010-09-30,17.301509857177734
2010-10-01,17.270652770996094
2010-10-04,16.961957931518555
2010-10-05,17.666776657104492
2010-10-06,17.738800048828125
2010-10-07,17.702791213989258
2010-10-08,17.836551666259766
2010-10-11,17.862276077270508
2010-10-12,17.594749450683594
2010-10-13,17.965164184570312
2010-10-14,17.85198974609375
2010-10-15,17.85198974609375
2010-10-18,18.00118064880371
2010-10-19,17.53302574157715
2010-10-20,17.754240036010742
2010-10-21,17.795400619506836
2010-10-22,17.692502975463867
2010-10-25,18.237842559814453
2010-10-26,17.085430145263672
2010-10-27,16.925033569335938
2010-10-28,16.764629364013672
2010-10-29,16.93537712097168
2010-11-01,16.85776138305664
2010-11-02,17.152692794799805
2010-11-03,17.287229537963867
