Date,TEL
2010-09-29,22.307209014892578
2010-09-30,21.954082489013672
2010-10-01,22.412395477294922
2010-10-04,22.104351043701172
2010-10-05,22.39735984802246
2010-10-06,22.48002052307129
2010-10-07,22.22455596923828
2010-10-08,22.502548217773438
2010-10-11,22.833141326904297
2010-10-12,22.637786865234375
2010-10-13,22.953350067138672
2010-10-14,23.051040649414062
2010-10-15,23.133676528930664
2010-10-18,23.163732528686523
2010-10-19,23.081085205078125
2010-10-20,23.374099731445312
2010-10-21,23.83993911743164
2010-10-22,23.591991424560547
2010-10-25,23.824899673461914
2010-10-26,23.539403915405273
2010-10-27,23.2839412689209
2010-10-28,23.591991424560547
2010-10-29,23.802366256713867
2010-11-01,23.794851303100586
2010-11-02,23.8699893951416
2010-11-03,24.132959365844727
2010-11-04,24.56873321533203
