Date,F
2010-09-30,6.453824996948242
2010-10-01,6.46436882019043
2010-10-04,6.770187854766846
2010-10-05,6.859823226928711
2010-10-06,6.981095790863037
2010-10-07,7.023277759552002
2010-10-08,7.202554225921631
2010-10-11,7.265824794769287
2010-10-12,7.265824794769287
2010-10-13,7.192006587982178
2010-10-14,7.3343682289123535
2010-10-15,7.276369094848633
2010-10-18,7.318550109863281
2010-10-19,7.023277759552002
2010-10-20,7.192006587982178
2010-10-21,7.281642913818359
2010-10-22,7.355461120605469
2010-10-25,7.460911750793457
2010-10-26,7.571640491485596
2010-10-27,7.503097057342529
2010-10-28,7.4978251457214355
2010-10-29,7.450372219085693
2010-11-01,7.503097057342529
2010-11-02,7.608554363250732
