Date,AVGO
2010-09-16,1.3609580993652344
2010-09-17,1.4168105125427246
2010-09-20,1.4585227966308594
2010-09-21,1.4684209823608398
2010-09-22,1.4677139520645142
2010-09-23,1.5080119371414185
2010-09-24,1.5256872177124023
2010-09-27,1.551845669746399
2010-09-28,1.5765905380249023
2010-09-29,1.5787122249603271
2010-09-30,1.5914374589920044
2010-10-01,1.5999211072921753
2010-10-04,1.5772978067398071
2010-10-05,1.5871950387954712
2010-10-06,1.5751762390136719
2010-10-07,1.6175963878631592
2010-10-08,1.5695208311080933
2010-10-11,1.5794191360473633
2010-10-12,1.5567947626113892
2010-10-13,1.5553808212280273
2010-10-14,1.5850741863250732
2010-10-15,1.6041635274887085
2010-10-18,1.6076982021331787
2010-10-19,1.5829538106918335
2010-10-20,1.562450647354126
