Date,FITB
2010-09-28,7.6147332191467285
2010-09-29,7.538712501525879
2010-09-30,7.621068477630615
2010-10-01,7.538712501525879
2010-10-04,7.538712501525879
2010-10-05,7.925149917602539
2010-10-06,7.779446601867676
2010-10-07,7.931485176086426
2010-10-08,7.842795372009277
2010-10-11,7.779446601867676
2010-10-12,8.083527565002441
2010-10-13,8.04551887512207
2010-10-14,7.817455768585205
2010-10-15,7.684416770935059
2010-10-18,7.944158554077148
2010-10-19,7.842795372009277
2010-10-20,7.855464935302734
2010-10-21,8.108869552612305
2010-10-22,8.146873474121094
2010-10-25,7.994837760925293
2010-10-26,8.102530479431152
2010-10-27,8.153210639953613
2010-10-28,8.058186531066895
2010-10-29,7.956826210021973
2010-11-01,7.842795372009277
2010-11-02,7.880805969238281
2010-11-03,8.267242431640625
