Date,DOC
2010-09-29,15.194785118103027
2010-09-30,15.211697578430176
2010-10-01,15.156736373901367
2010-10-04,15.114461898803711
2010-10-05,15.31739330291748
2010-10-06,15.401952743530273
2010-10-07,15.346989631652832
2010-10-08,15.346989631652832
2010-10-11,15.275111198425293
2010-10-12,15.368127822875977
2010-10-13,15.524552345275879
2010-10-14,15.363901138305664
2010-10-15,15.342763900756836
2010-10-18,15.575294494628906
2010-10-19,15.499190330505371
2010-10-20,15.752863883972168
2010-10-21,15.719038009643555
2010-10-22,15.376585960388184
2010-10-25,15.685216903686523
2010-10-26,15.596429824829102
2010-10-27,15.249748229980469
2010-10-28,15.199016571044922
2010-10-29,15.224385261535645
2010-11-01,15.359674453735352
2010-11-02,15.51610279083252
2010-11-03,15.220151901245117
