Date,PNC
2010-09-29,33.67509841918945
2010-09-30,33.74660873413086
2010-10-01,34.351192474365234
2010-10-04,33.87013244628906
2010-10-05,34.76727294921875
2010-10-06,34.962303161621094
2010-10-07,34.52021789550781
2010-10-08,34.50721740722656
2010-10-11,34.351192474365234
2010-10-12,34.487728118896484
2010-10-13,34.46817398071289
2010-10-14,33.706119537353516
2010-10-15,33.42605209350586
2010-10-18,34.52680206298828
2010-10-19,34.54632568359375
2010-10-20,34.35094451904297
2010-10-21,34.885032653808594
2010-10-22,35.64057540893555
2010-10-25,35.1716194152832
2010-10-26,35.1716194152832
2010-10-27,35.00877380371094
2010-10-28,34.9371337890625
2010-10-29,35.106475830078125
2010-11-01,34.63100814819336
2010-11-02,34.45515823364258
2010-11-03,35.210697174072266
2010-11-04,36.42866516113281
