Date,PGR
2010-09-29,12.87392807006836
2010-09-30,12.917251586914062
2010-10-01,12.911064147949219
2010-10-04,12.756332397460938
2010-10-05,13.090560913085938
2010-10-06,13.010095596313477
2010-10-07,13.016283988952637
2010-10-08,13.071990966796875
2010-10-11,13.059606552124023
2010-10-12,13.071990966796875
2010-10-13,13.19577407836914
2010-10-14,12.923445701599121
2010-10-15,12.81822395324707
2010-10-18,12.787276268005371
2010-10-19,12.570646286010742
2010-10-20,12.768709182739258
2010-10-21,12.713003158569336
2010-10-22,12.979147911071777
2010-10-25,13.00390338897705
2010-10-26,13.245292663574219
2010-10-27,13.220534324645996
2010-10-28,13.208157539367676
2010-10-29,13.096746444702148
2010-11-01,13.146258354187012
2010-11-02,13.251480102539062
2010-11-03,13.31956672668457
