Date,VTRS
2010-09-29,15.722211837768555
2010-09-30,15.730574607849121
2010-10-01,15.805838584899902
2010-10-04,15.621855735778809
2010-10-05,15.764028549194336
2010-10-06,15.713850021362305
2010-10-07,15.57168197631836
2010-10-08,15.554953575134277
2010-10-11,15.38769817352295
2010-10-12,15.66367244720459
2010-10-13,15.830928802490234
2010-10-14,15.839292526245117
2010-10-15,16.148717880249023
2010-10-18,15.839292526245117
2010-10-19,15.747300148010254
2010-10-20,15.872747421264648
2010-10-21,16.031639099121094
2010-10-22,16.20725440979004
2010-10-25,16.433059692382812
2010-10-26,16.3912410736084
2010-10-27,16.93482780456543
2010-10-28,17.14389991760254
2010-10-29,16.993371963500977
2010-11-01,16.876291275024414
2010-11-02,16.859560012817383
2010-11-03,16.859560012817383
