Date,NDSN
2010-09-29,31.354551315307617
2010-09-30,31.58600616455078
2010-10-01,31.624582290649414
2010-10-04,30.728740692138672
2010-10-05,32.130367279052734
2010-10-06,31.980363845825195
2010-10-07,32.11751174926758
2010-10-08,32.267547607421875
2010-10-11,32.061798095703125
2010-10-12,31.916053771972656
2010-10-13,32.26324462890625
2010-10-14,32.42184066772461
2010-10-15,32.57615280151367
2010-10-18,33.11195373535156
2010-10-19,32.48613739013672
2010-10-20,33.28767776489258
2010-10-21,33.42913055419922
2010-10-22,33.592010498046875
2010-10-25,34.18781280517578
2010-10-26,34.033512115478516
2010-10-27,33.65202713012695
2010-10-28,33.553443908691406
2010-10-29,33.44198226928711
2010-11-01,33.55772399902344
2010-11-02,34.34210968017578
2010-11-03,33.99064254760742
