Date,PH
2010-09-29,54.66758346557617
2010-09-30,54.36497116088867
2010-10-01,54.63657760620117
2010-10-04,52.98374557495117
2010-10-05,55.10990524291992
2010-10-06,54.46586608886719
2010-10-07,54.869361877441406
2010-10-08,55.23408508300781
2010-10-11,55.04784393310547
2010-10-12,54.729698181152344
2010-10-13,55.7074089050293
2010-10-14,55.226322174072266
2010-10-15,55.11769485473633
2010-10-18,56.19629669189453
2010-10-19,58.260406494140625
2010-10-20,58.57854461669922
2010-10-21,58.93546676635742
2010-10-22,59.2148551940918
2010-10-25,59.897705078125
2010-10-26,59.362274169921875
2010-10-27,58.958778381347656
2010-10-28,58.8734130859375
2010-10-29,59.40108871459961
2010-11-01,59.98307418823242
2010-11-02,60.92201614379883
2010-11-03,60.41759490966797
2010-11-04,62.373043060302734
