Date,DUK
2010-09-29,28.351911544799805
2010-09-30,28.113786697387695
2010-10-01,28.304277420043945
2010-10-04,28.177282333374023
2010-10-05,28.161420822143555
2010-10-06,28.09791374206543
2010-10-07,27.98678970336914
2010-10-08,28.002655029296875
2010-10-11,27.97092056274414
2010-10-12,27.90742301940918
2010-10-13,27.87567138671875
2010-10-14,27.90742301940918
2010-10-15,27.92329216003418
2010-10-18,28.018545150756836
2010-10-19,28.050291061401367
2010-10-20,28.240779876708984
2010-10-21,28.288414001464844
2010-10-22,28.224912643432617
2010-10-25,28.209033966064453
2010-10-26,28.351911544799805
2010-10-27,28.367780685424805
2010-10-28,28.685266494750977
2010-10-29,28.90751075744629
2010-11-01,28.65351676940918
2010-11-02,29.002758026123047
2010-11-03,29.034507751464844
2010-11-04,29.41550064086914
