Date,ADP
2018-07-02,116.43216705322266
2018-07-03,115.39614868164062
2018-07-05,115.43932342529297
2018-07-06,115.87960815429688
2018-07-09,116.13861083984375
2018-07-10,117.3905029296875
2018-07-11,116.87249755859375
2018-07-12,118.71147155761719
2018-07-13,118.57328796386719
2018-07-16,118.38333892822266
2018-07-17,118.59053039550781
2018-07-18,118.71147155761719
2018-07-19,118.33158111572266
2018-07-20,118.5646743774414
2018-07-23,118.88410186767578
2018-07-24,118.37472534179688
2018-07-25,120.135986328125
2018-07-26,120.21369171142578
2018-07-27,118.63373565673828
2018-07-30,115.94004821777344
2018-07-31,116.54442596435547
2018-08-01,114.48963928222656
2018-08-02,114.95582580566406
2018-08-03,115.9055404663086
2018-08-06,117.03654479980469
2018-08-07,119.06542205810547
2018-08-08,118.98773956298828
2018-08-09,119.4625244140625
2018-08-10,120.25686645507812
2018-08-13,120.58492279052734
2018-08-14,121.8626708984375
2018-08-15,121.94035339355469
2018-08-16,121.94035339355469
2018-08-17,123.0713882446289
2018-08-20,122.73464965820312
2018-08-21,123.49442291259766
2018-08-22,123.7188949584961
2018-08-23,123.7620620727539
2018-08-24,123.96924591064453
2018-08-27,123.97794342041016
2018-08-28,124.17649841308594
2018-08-29,126.35209655761719
2018-08-30,125.6096420288086
2018-08-31,126.69747161865234
2018-09-04,125.88587951660156
2018-09-05,126.17082977294922
2018-09-06,127.15501403808594
2018-09-07,126.68020629882812
2018-09-10,126.93059539794922
2018-09-11,126.91329193115234
2018-09-12,127.02552795410156
2018-09-13,127.4419174194336
2018-09-14,127.91027069091797
2018-09-17,127.54601287841797
2018-09-18,127.9970703125
2018-09-19,127.48527526855469
2018-09-20,129.1420440673828
2018-09-21,130.703369140625
2018-09-24,129.30686950683594
2018-09-25,129.15077209472656
2018-09-26,129.78392028808594
2018-09-27,130.03553771972656
2018-09-28,130.68606567382812
2018-10-01,130.75546264648438
2018-10-02,131.64891052246094
2018-10-03,131.4927978515625
2018-10-04,130.30441284179688
2018-10-05,130.97232055664062
2018-10-08,129.50640869140625
2018-10-09,130.2350616455078
2018-10-10,122.98336029052734
2018-10-11,119.8606185913086
2018-10-12,122.06387329101562
2018-10-15,121.65619659423828
2018-10-16,124.28449249267578
2018-10-17,124.61409759521484
2018-10-18,123.97218322753906
2018-10-19,124.39723205566406
2018-10-22,124.90036010742188
2018-10-23,123.55585479736328
2018-10-24,119.40088653564453
2018-10-25,121.86434936523438
2018-10-26,118.27323913574219
2018-10-29,117.36248779296875
2018-10-30,119.06257629394531
2018-10-31,124.97842407226562
2018-11-01,122.22869873046875
2018-11-02,122.06387329101562
2018-11-05,122.66241455078125
2018-11-06,124.8396224975586
2018-11-07,128.63894653320312
2018-11-08,128.28334045410156
2018-11-09,127.6761245727539
2018-11-12,125.05650329589844
2018-11-13,125.5335922241211
2018-11-14,123.7987289428711
2018-11-15,127.72815704345703
2018-11-16,127.12097930908203
2018-11-19,124.42328643798828
2018-11-20,121.890380859375
2018-11-21,122.37618255615234
2018-11-23,122.21134948730469
2018-11-26,125.47284698486328
2018-11-27,126.0540542602539
2018-11-28,128.9078369140625
2018-11-29,126.51380157470703
2018-11-30,127.87562561035156
2018-12-03,127.86692810058594
2018-12-04,124.57073974609375
2018-12-06,124.19770812988281
2018-12-07,120.85816955566406
2018-12-10,121.20514678955078
2018-12-11,121.43069458007812
2018-12-12,121.06636047363281
2018-12-13,120.56039428710938
2018-12-14,117.61180114746094
2018-12-17,115.56175231933594
2018-12-18,113.40701293945312
2018-12-19,113.69491577148438
2018-12-20,113.6600112915039
2018-12-21,109.36796569824219
2018-12-24,106.38450622558594
2018-12-26,111.40058898925781
2018-12-27,113.17145538330078
2018-12-28,112.73528289794922
2018-12-31,114.38404083251953
2019-01-02,113.52912902832031
2019-01-03,110.10075378417969
2019-01-04,114.48875427246094
2019-01-07,113.86936950683594
2019-01-08,114.54109954833984
2019-01-09,114.64575958251953
2019-01-10,115.55303955078125
2019-01-11,114.84639739990234
2019-01-14,114.19214630126953
2019-01-15,115.43962097167969
2019-01-16,115.81472778320312
2019-01-17,115.97175598144531
2019-01-18,117.92584991455078
2019-01-22,116.17237854003906
2019-01-23,117.26285552978516
2019-01-24,117.55072021484375
2019-01-25,118.99887084960938
2019-01-28,118.20499420166016
2019-01-29,116.89643096923828
2019-01-30,121.61592864990234
2019-01-31,121.99103546142578
