Date,HON
2010-09-29,30.608728408813477
2010-09-30,30.539230346679688
2010-10-01,30.68518829345703
2010-10-04,30.30988311767578
2010-10-05,31.282907485961914
2010-10-06,31.776369094848633
2010-10-07,31.609575271606445
2010-10-08,31.797229766845703
2010-10-11,31.69993019104004
2010-10-12,31.658214569091797
2010-10-13,32.255943298339844
2010-10-14,32.08913040161133
2010-10-15,32.311527252197266
2010-10-18,32.66599655151367
2010-10-19,32.08217239379883
2010-10-20,32.255943298339844
2010-10-21,32.4366340637207
2010-10-22,32.84669876098633
2010-10-25,33.034358978271484
2010-10-26,32.86061096191406
2010-10-27,32.728553771972656
2010-10-28,32.735511779785156
2010-10-29,32.74245071411133
2010-11-01,32.52698516845703
2010-11-02,32.832801818847656
2010-11-03,32.9718017578125
2010-11-04,34.06298065185547
