Date,IRM
2010-09-29,8.371133804321289
2010-09-30,8.423922538757324
2010-10-01,8.416380882263184
2010-10-04,8.435236930847168
2010-10-05,7.711244583129883
2010-10-06,7.703704833984375
2010-10-07,7.6659955978393555
2010-10-08,7.722554683685303
2010-10-11,7.8809309005737305
2010-10-12,7.903552055358887
2010-10-13,8.012909889221191
2010-10-14,8.058156967163086
2010-10-15,8.118488311767578
2010-10-18,8.261778831481934
2010-10-19,8.25423526763916
2010-10-20,8.337194442749023
2010-10-21,8.461629867553711
2010-10-22,8.52573013305664
2010-10-25,8.635086059570312
2010-10-26,8.60869312286377
2010-10-27,8.506880760192871
2010-10-28,7.990284442901611
2010-10-29,8.216527938842773
2010-11-01,8.167509078979492
2010-11-02,8.371133804321289
2010-11-03,8.446545600891113
