Date,EG
2010-09-29,62.73046875
2010-09-30,63.06599044799805
2010-10-01,62.13241195678711
2010-10-04,62.1251220703125
2010-10-05,63.1972541809082
2010-10-06,62.22723388671875
2010-10-07,62.72319412231445
2010-10-08,62.72319412231445
2010-10-11,59.52138137817383
2010-10-12,60.330955505371094
2010-10-13,61.24260711669922
2010-10-14,61.818809509277344
2010-10-15,61.424957275390625
2010-10-18,61.7823371887207
2010-10-19,60.52055358886719
2010-10-20,61.57809829711914
2010-10-21,61.43955993652344
2010-10-22,61.308265686035156
2010-10-25,61.651031494140625
2010-10-26,61.85526657104492
2010-10-27,61.3739128112793
2010-10-28,60.943580627441406
2010-10-29,61.46870040893555
2010-11-01,61.67294692993164
2010-11-02,62.33662796020508
2010-11-03,62.8179931640625
2010-11-04,64.42256164550781
