Date,LIN
2010-09-29,67.83206176757812
2010-09-30,68.23274230957031
2010-10-01,67.7716064453125
2010-10-04,67.31046295166016
2010-10-05,68.93579864501953
2010-10-06,68.92821502685547
2010-10-07,68.19490814208984
2010-10-08,68.50487518310547
2010-10-11,68.3763656616211
2010-10-12,68.68630981445312
2010-10-13,69.47250366210938
2010-10-14,68.57290649414062
2010-10-15,68.57290649414062
2010-10-18,68.62581634521484
2010-10-19,67.5901870727539
2010-10-20,68.79969787597656
2010-10-21,70.12265014648438
2010-10-22,69.68416595458984
2010-10-25,70.88612365722656
2010-10-26,70.68202209472656
2010-10-27,68.42170715332031
2010-10-28,68.73165893554688
2010-10-29,69.04915618896484
2010-11-01,69.04915618896484
2010-11-02,69.78243255615234
2010-11-03,69.72950744628906
2010-11-04,69.76734161376953
