Date,SHW
2010-09-29,21.65964126586914
2010-09-30,21.442758560180664
2010-10-01,21.12885284423828
2010-10-04,21.034677505493164
2010-10-05,21.322904586791992
2010-10-06,21.11743927001953
2010-10-07,21.02325439453125
2010-10-08,20.969043731689453
2010-10-11,20.5581111907959
2010-10-12,20.752166748046875
2010-10-13,20.903411865234375
2010-10-14,20.86345672607422
2010-10-15,20.546693801879883
2010-10-18,20.595211029052734
2010-10-19,20.75786781311035
2010-10-20,20.772136688232422
2010-10-21,20.677967071533203
2010-10-22,20.826366424560547
2010-10-25,21.280094146728516
2010-10-26,20.532421112060547
2010-10-27,20.5352783203125
2010-10-28,20.475353240966797
2010-10-29,20.82350730895996
2010-11-01,20.63801383972168
2010-11-02,20.655141830444336
2010-11-03,20.589500427246094
2010-11-04,20.786405563354492
